Player,Player_url,Team,Team_abbr,Player_pos,Player_hand
Emmanuel Clase,https://www.fangraphs.com/players/emmanuel-clase/21032/,guardians,CLE,RP,R
Trevor Stephan,https://www.fangraphs.com/players/trevor-stephan/19932/,guardians,CLE,RP,R
Eli Morgan,https://www.fangraphs.com/players/eli-morgan/20203/,guardians,CLE,RP,R
Bryan Shaw,https://www.fangraphs.com/players/bryan-shaw/8110/,guardians,CLE,RP,R
Sam Hentges,https://www.fangraphs.com/players/sam-hentges/18548/,guardians,CLE,RP,L
James Karinchak,https://www.fangraphs.com/players/james-karinchak/20151/,guardians,CLE,RP,R
Nick Sandlin,https://www.fangraphs.com/players/nick-sandlin/20517/,guardians,CLE,RP,R
Enyel De Los Santos,https://www.fangraphs.com/players/enyel-de-los-santos/18403/,guardians,CLE,RP,R
Tanner Tully,https://www.fangraphs.com/players/tanner-tully/19518/,guardians,CLE,RP,L
Oscar Gonzalez,https://www.fangraphs.com/players/oscar-gonzalez/20970/,guardians,CLE,OF,R
Aaron Civale,https://www.fangraphs.com/players/aaron-civale/19479/,guardians,CLE,SP,R
Cody Morris,https://www.fangraphs.com/players/cody-morris/sa3008653/,guardians,CLE,SP,R
Carlos Vargas,https://www.fangraphs.com/players/carlos-vargas/sa3007467/,guardians,CLE,SP,R
Anthony Gose,https://www.fangraphs.com/players/anthony-gose/5097/,guardians,CLE,RP,L
Riley Greene,https://www.fangraphs.com/players/riley-greene/25976/,tigers,DET,CF,L
Javier Báez,https://www.fangraphs.com/players/javier-baez/12979/,tigers,DET,SS,R
Harold Castro,https://www.fangraphs.com/players/harold-castro/14691/,tigers,DET,RF,L
Miguel Cabrera,https://www.fangraphs.com/players/miguel-cabrera/1744/,tigers,DET,DH,R
Jeimer Candelario,https://www.fangraphs.com/players/jeimer-candelario/13621/,tigers,DET,3B,S
Jonathan Schoop,https://www.fangraphs.com/players/jonathan-schoop/11265/,tigers,DET,2B,R
Spencer Torkelson,https://www.fangraphs.com/players/spencer-torkelson/27465/,tigers,DET,1B,R
Akil Baddoo,https://www.fangraphs.com/players/akil-baddoo/22168/,tigers,DET,LF,L
Tucker Barnhart,https://www.fangraphs.com/players/tucker-barnhart/10200/,tigers,DET,C,S
Eric Haase,https://www.fangraphs.com/players/eric-haase/14111/,tigers,DET,C/OF,R
Willi Castro,https://www.fangraphs.com/players/willi-castro/17338/,tigers,DET,INF/OF,S
Robbie Grossman,https://www.fangraphs.com/players/robbie-grossman/5254/,tigers,DET,OF,S
Victor Reyes,https://www.fangraphs.com/players/victor-reyes/15487/,tigers,DET,OF,S
Tarik Skubal,https://www.fangraphs.com/players/tarik-skubal/22267/,tigers,DET,SP,L
Elvin Rodriguez,https://www.fangraphs.com/players/elvin-rodriguez/20962/,tigers,DET,SP,R
Drew Hutchison,https://www.fangraphs.com/players/drew-hutchison/10732/,tigers,DET,SP,R
Michael Pineda,https://www.fangraphs.com/players/michael-pineda/5372/,tigers,DET,SP,R
Beau Brieske,https://www.fangraphs.com/players/beau-brieske/26079/,tigers,DET,SP,R
Gregory Soto,https://www.fangraphs.com/players/gregory-soto/19677/,tigers,DET,RP,L
Michael Fulmer,https://www.fangraphs.com/players/michael-fulmer/13218/,tigers,DET,RP,R
Andrew Chafin,https://www.fangraphs.com/players/andrew-chafin/12988/,tigers,DET,RP,L
Alex Lange,https://www.fangraphs.com/players/alex-lange/19883/,tigers,DET,RP,R
Joe Jiménez,https://www.fangraphs.com/players/joe-jimenez/15761/,tigers,DET,RP,R
Jason Foley,https://www.fangraphs.com/players/jason-foley/19531/,tigers,DET,RP,R
Will Vest,https://www.fangraphs.com/players/will-vest/19769/,tigers,DET,RP,R
Tyler Alexander,https://www.fangraphs.com/players/tyler-alexander/17735/,tigers,DET,RP,L
Jake Rogers,https://www.fangraphs.com/players/jake-rogers/19452/,tigers,DET,C,R
Austin Meadows,https://www.fangraphs.com/players/austin-meadows/15672/,tigers,DET,OF,L
Rony García,https://www.fangraphs.com/players/rony-garcia/20430/,tigers,DET,SP,R
Matt Manning,https://www.fangraphs.com/players/matt-manning/20369/,tigers,DET,SP,R
Casey Mize,https://www.fangraphs.com/players/casey-mize/20492/,tigers,DET,SP,R
Spencer Turnbull,https://www.fangraphs.com/players/spencer-turnbull/16207/,tigers,DET,SP,R
José Cisnero,https://www.fangraphs.com/players/jose-cisnero/6399/,tigers,DET,RP,R
Kyle Funkhouser,https://www.fangraphs.com/players/kyle-funkhouser/19456/,tigers,DET,RP,R
Wily Peralta,https://www.fangraphs.com/players/wily-peralta/7738/,tigers,DET,RP,R
Jose Altuve,https://www.fangraphs.com/players/jose-altuve/5417/,astros,HOU,2B,R
Aledmys Díaz,https://www.fangraphs.com/players/aledmys-diaz/15937/,astros,HOU,LF,R
