last_name, first_name,player_id,year,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,groundballs_percent,flyballs_percent,
Springer III, George,543807,2022,88.9,14.6,8.8,43,25,
Strange-Gordon, Dee,543829,2022,84.4,1.3,0,62.7,13.7,
Vazquez, Christian,543877,2022,88.9,9.7,6.5,44.7,22.1,
Wong, Kolten,543939,2022,87.2,15.2,3.4,42,25,
Gregorius, Didi,544369,2022,84.8,12,3,45.5,25.8,
Garcia, Leury,544725,2022,86.9,5.7,5.2,52.6,21.4,
Vargas, Ildemaro,545121,2022,90.6,5.1,0,57.1,23.8,
Grichuk, Randal,545341,2022,89.2,7.3,5.2,51.8,22.5,
Marisnick, Jake,545350,2022,86.9,17.5,2.6,46.2,25.6,
Stassi, Max,545358,2022,89.6,4,11.6,57.1,19.6,
Trout, Mike,545361,2022,92.5,24.5,21.1,23.8,46.5,
Herrera, Odubel,546318,2022,87,4.2,5.3,58.8,18.3,
Almora Jr., Albert,546991,2022,84.6,7.9,2.3,50.4,19.5,
Lopes, Christian,547173,2022,91.1,27.6,0,25,0,
Harper, Bryce,547180,2022,92.8,14.1,14.4,36.1,26.8,
Perez, Roberto,547379,2022,89.3,5.4,11.4,48.6,28.6,
Abreu, Jose,547989,2022,93,10.3,10.7,45.8,27.9,
Diaz, Elias,553869,2022,87.8,9.8,4.5,49.4,23.4,
Narvaez, Omar,553882,2022,84.5,17.7,4,32.3,37.1,
Astudillo, Willians,553902,2022,84,9.3,0,57.1,20,
Suarez, Eugenio,553993,2022,88.1,18.1,14.6,37.9,35.9,
Gonzalez, Erik,570481,2022,84.4,-0.7,0,60,8,
Urshela, Gio,570482,2022,89.1,11.6,8,44.2,25.4,
Schoop, Jonathan,570731,2022,88.3,10.1,5.3,46.2,19.4,
Arenado, Nolan,571448,2022,88.2,23.2,7.3,31.4,28.8,
Barnhart, Tucker,571466,2022,85.1,7.5,0.9,57.7,18,
Davidson, Matt,571602,2022,87.3,13.1,14.3,47.6,33.3,
Farmer, Kyle,571657,2022,85.9,11.7,4.7,44.2,21.9,
Haniger, Mitch,571745,2022,93.3,24,19.2,30.8,19.2,
Hernandez, Enrique,571771,2022,87.8,21.4,7.2,34.4,25.6,
Lamb, Jake,571875,2022,93.3,9.5,14.3,50,28.6,
Maile, Luke,571912,2022,83.4,18.9,4.9,36.1,31.1,
Muncy, Max,571970,2022,88.8,21.2,12.8,36,37.8,
Myers, Wil,571976,2022,88.2,12,4.5,44.3,26.1,
Naquin, Tyler,571980,2022,90.4,15.7,10.7,38.4,28.6,
Owings, Chris,572008,2022,80.4,10.8,3,57.6,18.2,
Piscotty, Stephen,572039,2022,87.6,8.6,4,46,18,
Pollock, AJ,572041,2022,88.6,13.4,9.3,41.5,22.4,
Taylor, Michael A.,572191,2022,86.9,14.3,6.5,39.4,29,
Thompson, Trayce,572204,2022,88.4,15,15.6,28.1,25,
Voit III, Luke,572228,2022,90,17,16.2,37,31.8,
Walker, Christian,572233,2022,90.3,17.1,14.6,39.1,35.2,
Zunino, Mike,572287,2022,91.8,20.8,8.6,28.6,37.1,
Carpenter, Matt,572761,2022,91,25.8,17.8,24.4,40,
Dickerson, Corey,572816,2022,87,17,5.7,41.4,27.6,
Garneau, Dustin,572863,2022,89.5,40.6,16.7,0,50,
Ruf, Darin,573131,2022,89.9,13.2,8.2,42.8,27.7,
Yastrzemski, Mike,573262,2022,90.4,18.4,11,38.7,28.8,
Contreras, Willson,575929,2022,91.1,9,9.5,50.2,23.4,
Iglesias, Jose,578428,2022,85,7.4,0.4,50.4,16.1,
Bryant, Kris,592178,2022,85.8,13.4,7.4,39.4,33,
Canha, Mark,592192,2022,87.8,9.2,3.6,48.5,21.6,
Casali, Curt,592200,2022,87.1,21.6,5.4,29.7,35.1,
Castellanos, Nick,592206,2022,88.1,13.7,7.5,43.5,29.6,
Drury, Brandon,592273,2022,89.7,13.2,12.3,41.8,25,
Gamel, Ben,592325,2022,88.9,9.4,6.8,42.7,23.9,
Goodrum, Niko,592348,2022,81.9,7.7,5,50,20,
Judge, Aaron,592450,2022,95.4,13.1,24.9,41.5,34.9,
Machado, Manny,592518,2022,90.7,15.5,8.4,41.9,22.5,
Moran, Colin,592567,2022,90,11.6,7.9,50,28.9,
Pederson, Joc,592626,2022,93.8,14.4,17.5,40.4,35.7,
Realmuto, J.T.,592663,2022,88.6,13.1,6.6,47.2,24.1,
Renfroe, Hunter,592669,2022,89.7,15.7,13.6,37.4,34,
Rosario, Eddie,592696,2022,87,12.1,1.8,50.9,25.5,
Simmons, Andrelton,592743,2022,81.4,1.1,0,66.2,10.8,
Yelich, Christian,592885,2022,90.9,5.4,9.5,56.5,20.7,
Merrifield, Whit,593160,2022,87.2,15.5,4.5,38.1,30.6,
Bogaerts, Xander,593428,2022,88.4,9.9,7,46.7,20.2,
Alberto, Hanser,593643,2022,82.8,9,1.6,53.2,19.4,
Polanco, Jorge,593871,2022,88.4,20.7,10.9,33.3,31.3,
Sano, Miguel,593934,2022,93.8,31.3,14.7,14.7,44.1,
Calhoun, Kole,594777,2022,91.1,16.2,11.9,37.3,26.9,
Duvall, Adam,594807,2022,88.1,23.1,12.6,29.1,38.3,
Gosselin, Phil,594838,2022,87,8.5,0,47.1,23.5,
Kiermaier, Kevin,595281,2022,87.9,5.3,6.9,52.4,23.4,
Knapp, Andrew,595284,2022,85.4,14.7,0,60.9,17.4,
Wallach, Chad,595453,2022,87.5,17.7,7.7,42.3,34.6,
Alfaro, Jorge,595751,2022,90.2,9,14.2,45.1,25.7,
Profar, Jurickson,595777,2022,87.3,13.8,4.6,44.2,21.5,
Baez, Javier,595879,2022,87.4,8.1,8.5,53.1,21.6,
Gallagher, Cam,595956,2022,85.7,15.3,0,44.8,27.6,
Hedges, Austin,595978,2022,83.3,20.5,3.6,36.9,24.3,
Lindor, Francisco,596019,2022,89.1,14,8.6,43.6,28.2,
Odor, Rougned,596059,2022,87.6,22.4,8.6,32.6,29.7,
Slater, Austin,596103,2022,88.2,3.1,10.3,56.3,18.4,
Story, Trevor,596115,2022,88.9,19.6,11.7,34.6,31.2,
Stubbs, Garrett,596117,2022,85.8,13.3,7,51.2,16.3,
Vogelbach, Daniel,596129,2022,90.3,16,12.3,41.4,32.1,
Sanchez, Gary,596142,2022,90.3,15.9,17.2,38.5,33.1,
Kepler, Max,596146,2022,89.8,12.4,8.2,44.7,27.4,
Quinn, Roman,596451,2022,90.9,25.7,4.5,31.8,36.4,
Franco, Maikel,596748,2022,87.4,11.7,5.7,42.5,21.5,
Choi, Ji-Man,596847,2022,92.3,11.2,11.3,43.6,25.6,
Bradley Jr., Jackie,598265,2022,88.1,7.1,5.1,49.7,21.5,
La Stella, Tommy,600303,2022,89.7,16,3.1,35.4,27.1,
Candelario, Jeimer,600869,2022,87,14,8.6,42.5,21.3,
Daza, Yonathan,602074,2022,85.6,4.1,2.6,54.4,18.5,
Urias, Ramon,602104,2022,90.9,10.7,9.5,47.6,21.8,
Ahmed, Nick,605113,2022,86.9,4.4,5.4,56.8,27,
Anderson, Brian,605119,2022,88.2,5.8,9.4,50,21.9,
Barnes, Austin,605131,2022,89.9,12.5,7.1,50,28.6,
Bell, Josh,605137,2022,89.4,8.7,7.4,48.9,20.4,
Betts, Mookie,605141,2022,90,18,9.8,35.6,36.4,
Caratini, Victor,605170,2022,88.7,7.5,12.4,46.1,21.3,
Davis, J.D.,605204,2022,93.4,9.7,11.9,49.5,19.3,
Garcia, Aramis,605244,2022,87.4,19,2.7,37.8,20.3,
Machin, Vimael,605353,2022,89.8,12.8,11.1,55.6,38.9,
Perez, Michael,605421,2022,90.2,19.7,8.8,35,35,
Zimmer, Bradley,605548,2022,87.6,10.1,12.2,53.7,29.3,
Castro, Harold,605612,2022,87.9,8.8,6.7,45.6,24.2,
Arcia, Orlando,606115,2022,90.4,7,6.5,53.3,27.2,
Tapia, Raimel,606132,2022,88.1,4.6,6.3,49.5,19.5,
Aquino, Aristides,606157,2022,84.8,14.9,10.9,43.5,21.7,
Hernandez, Teoscar,606192,2022,92.2,11.2,12.6,47.9,24,
Mercedes, Yermin,606213,2022,89.4,25.4,12.5,18.8,37.5,
Marte, Ketel,606466,2022,89.9,12.5,5,45.2,25.3,
Haase, Eric,606992,2022,86.3,15.6,8.6,37.1,27.6,
Hager, Jake,606993,2022,80.8,13.9,5.9,50,29.4,
Nimmo, Brandon,607043,2022,90,5.3,8.1,52.2,21.1,
Peterson, Jace,607054,2022,89,9.6,7.6,46.2,29,
Turner, Trea,607208,2022,90.1,8.9,7.7,43.4,26.1,
Krizan, Jason,607249,2022,94.5,9.2,0,40,20,
Beaty, Matt,607461,2022,84.2,10.2,0,45.2,22.6,
Pillar, Kevin,607680,2022,88.2,10.7,12.5,50,37.5,
Stallings, Jacob,607732,2022,85.2,10.2,2.7,46.7,26,
Ramirez, Jose,608070,2022,87.9,22.3,6.6,30.3,27.7,
Bregman, Alex,608324,2022,89.8,18.9,7.4,34.4,34,
Gallo, Joey,608336,2022,88.5,22.6,18.6,27.4,38.9,
Kelly, Carson,608348,2022,88,15.2,6.5,43,36.6,
Okey, Chris,608360,2022,86.2,15.9,0,57.1,28.6,
Seager, Corey,608369,2022,91.3,15.2,11.2,36.7,32.6,
Winker, Jesse,608385,2022,87.3,17.3,7.2,36.7,29.4,
Mazara, Nomar,608577,2022,85.4,16.3,4.1,37.8,28.4,
Murphy, Tom,608596,2022,94.3,13.4,20,35,30,
Jankowski, Travis,608671,2022,79.8,-2.9,0,73.7,2.6,
Mayfield, Jack,608686,2022,84.5,13.5,1.9,45.3,30.2,
Plawecki, Kevin,608700,2022,88.9,14.5,0,48.4,25.8,
Refsnyder, Rob,608701,2022,89.1,9.1,14,42.1,21.1,
Reynolds, Matt,608703,2022,91.7,7.4,4.5,46.8,21.6,
Mondesi, Adalberto,609275,2022,88,7.8,3.3,56.7,23.3,
Andujar, Miguel,609280,2022,85.3,12.4,4.8,40.5,14.3,
